Name,Id,Blood Glucose,Hemoglobin A1c,Glycated Albumin,Total Cholesterol,LDL Cholesterol,HDL Cholesterol,Triglycerides,Apolipoprotein A1,Apolipoprotein B,Vitamin D,Vitamin C,Vitamin K,Vitamin B6 (Pyridoxine),Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B5 (Pantothenic Acid),Vitamin B7 (Biotin),Vitamin B9 (Folate),Vitamin B12 (Cobalamin),Vitamin A,Creatinine,Uric Acid,Blood Urea Nitrogen,Cystatin C,Sodium,Potassium,Calcium,Magnesium,Phosphate,Chloride,Bicarbonate,Iron,Globulin,Albumin,Total Protein,Albumin/Globulin Ratio,C-Reactive Protein,Haptoglobin,Transferrin,C-Peptide,Testosterone,Estrogen,Progesterone,Cortisol,Aldosterone,Thyroid-Stimulating Hormone (TSH),Free Thyroxine (Free T4),Free Triiodothyronine (Free T3),Aspartate Aminotransferase,Alanine Aminotransferase,Alkaline Phosphatase,Gamma-Glutamyl Transferase,Bilirubin,Lactate Dehydrogenase,Prothrombin Time,Partial Thromboplastin Time,Fibrinogen
Peach,9a78c7bc-c85c-4945-b02d-1bf366e908e8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1
Plum,f42601d3-2a83-425d-8a92-6b55ac8fc1ad,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
Apricot,4616e33b-606a-497a-8426-0f2c2976ff7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Cherry,565c09ab-43f5-4ba9-b1d8-d5d06ecad85c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watermelon,edcbf94c-60f4-44d9-b9ac-65ea0c35ec90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Muskmelon,5991aba9-110d-4d05-9c23-39aeb093c340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Apple,b06f8b9c-387e-4fe4-a2cf-6cb40ae95b34,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,-1,0,-1,-1,0,-1,0,-1,0
Pear,b1b356a0-4644-4bd4-862c-24e1ee6aecda,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0
Spinach,4db55000-d45c-4441-88fe-e73a40114290,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kale,e242dec3-74f4-4671-82bf-1c4c9b6c8652,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lettuce,4763d82d-49c6-45ec-b2b4-6fab190024a7,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
Broccoli,33ee1b0b-ed33-477f-bdd9-dfc7965e8008,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cauliflower,a6ca589e-b3d5-4755-940a-24d11c7eab2f,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Cabbage,ee545458-bf11-46bb-85e0-82457c470496,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Peas,7874e249-b2ca-4b88-a478-2a0f578d7e15,1,1,1,0,0,0,-1,1,-1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Lentils,d1f72e8a-27b4-4e76-83ee-2f81d30f40fb,1,1,1,0,0,0,-1,1,-1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Chickpeas,f22ba06a-0a0d-48b9-bba9-69de209d8d34,1,1,1,0,0,0,-1,1,-1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Kidney Beans,c0c10e07-7053-4945-a094-4762612bd17d,1,1,1,0,0,0,-1,1,-1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Carrots,0f4aabdf-9426-4ee4-a906-5964c9c78efe,1,1,1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Potatoes,fd1acfdd-a8b7-4700-9366-3ca649ce5250,1,1,1,0,0,0,1,1,-1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Beets,400760c4-b466-4e7e-bb17-2f25665f9d56,1,1,1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Radishes,81f45374-91cc-45e8-96c5-20551dcfcbad,0,0,0,0,0,0,-1,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Potatoes,4c9e0413-6a67-462d-b3ad-d7c4c4829ff5,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yams,361ee3cd-7945-4b3c-802c-a201280846aa,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassava,b2806be4-18c7-4934-acd8-a853078e7ff9,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butternut Squash,c3a63c78-4190-4081-b979-989cc529a28b,1,1,1,0,0,0,-1,1,-1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zucchini,08531fe3-d0d4-4db0-8a41-c6d21bb1e968,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pumpkin,8d4df75a-d095-4b03-95dc-e9795b555d56,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,1,0,0,0,0,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cucumber,8dbca07e-183b-437e-ad30-2fbbf52d0ed2,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tomatoes,6ba2390e-4378-4297-8feb-37171fb3f5e7,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bell Peppers,0b185969-2365-4e7b-a1c6-34f109724be8,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eggplants,4fa37020-3e82-4a13-b62a-befc0d21461a,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garlic,f5b6582a-f6d5-40d9-a7aa-4bc84b092d25,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Onion,1d48065a-0d3f-49d3-a0b0-a98466e67635,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Chives,830e9879-04f7-4c06-a351-b386374a5671,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celery,947da7ca-93d5-4958-b11e-ff1d3687f9b6,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Asparagus,320a65d8-5d0a-45f2-acbf-6fbb6d60647a,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,1,0,0,1,0,1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fennel,a809709a-0ada-49fb-80f9-cffa193ce5a0,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basil,efd631d5-5dc9-4012-9470-851a592c9db6,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cilantro,2480dd91-ec97-4122-a36e-59f03b26a334,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parsley,f18e71de-9be7-4820-a515-e2a7589aa2e7,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mint,76916402-66ee-4b93-8656-1aeedca82243,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thyme,72afd50c-cd56-4b94-a693-d98e9931d8fe,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosemary,32d0b5e3-a7a1-4656-a566-6c562603311c,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregano,ee5bc076-a7e8-47c8-a738-2c127dbb8ceb,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ginger,97775a3f-fe28-4df7-8c1f-03221c9cefc1,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Turmeric,bec1be67-d6d8-4638-83a8-4f1bf764b9f1,-1,-1,-1,-1,-1,0,-1,1,-1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Horseradish,9476f19a-46b4-446e-9bbf-e0f190390057,-1,-1,-1,0,0,0,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Button Mushrooms,9ea8ef3c-6afa-4c6d-abce-dc4330c8b0b4,-1,-1,-1,0,0,0,-1,1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiitake Mushrooms,c24f99b9-16ad-4de0-b046-b3eb3492c714,-1,-1,-1,0,0,0,-1,1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portobello Mushrooms,22a20975-9185-4f22-97bf-925942603587,-1,-1,-1,0,0,0,-1,1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oyster Mushrooms,097c484c-b3ae-46d1-8ef0-9b51547d3545,-1,-1,-1,0,0,0,-1,1,-1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfalfa Sprouts,8b318517-0d69-4e5d-bc07-4d9e1b619c75,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bean Sprouts,5a494992-5a61-4662-8354-b06fbe34bc98,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broccoli Sprouts,61082cd9-d08e-4f45-838c-8940d26b7ff4,-1,-1,-1,0,0,0,-1,1,-1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almond,e861d4b1-696d-49e1-bfd0-f25a7cda87f0,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cashew,fa36a30b-64e4-41a5-9c2a-1e7e671b6c88,-1,-1,-1,1,1,1,-1,1,-1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chestnut,694c67d5-74e4-4eb7-aa4a-a45320e657b0,-1,0,0,-1,-1,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hazelnut,38cc2363-92bd-41f0-adab-06100c8501e3,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pistachio,b8bfc099-f549-4611-9b90-8c6919ad777c,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,-1,-1,1,-1,0,0,1,1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Walnut,8ac3e1a5-6afb-4d8c-b6bf-7048770ef191,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pine Nut,f1bd6269-76ad-42b1-ba7b-4edc663dda35,-1,-1,-1,1,1,1,-1,1,-1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sunflower Seed,0f63e0eb-f0fe-4759-8f2b-82f074dd7219,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pumpkin Seed,e35b3f84-cb1d-425f-83c8-b21bbc822086,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,-1,-1,1,1,1,0,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chia Seed,11730dc1-c6ec-4909-98aa-117c23e17a4a,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Flax Seed,84d00c05-21fd-4312-8505-c83ca2f44eaa,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,0,1,1,1,0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,0,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sesame Seed,cc7ef0c8-0f29-47eb-9d6c-f6e8f9d3c185,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,0,0,0,1,0,0,0,0,1,1,1,1,1,-1,-1,0,0,0,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Wheat,9f3e0f1d-9216-44b2-87c6-7512245cbe8d,1,1,1,0,0,-1,1,-1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
